,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
0,1,Darius Adams,CAJ,41,25.7,5.7,13.0,0.43799999999999994,2.8,7.4,0.384,2.2,2.5,0.8809999999999999,3.1,2.2,0.4,2.3,2.8,2.9,1.3,0.1,16.4
1,2,Alex Mumbru,BBB,34,30.0,5.1,12.0,0.43,2.0,5.6,0.365,2.9,3.4,0.836,2.0,2.6,0.7,2.8,3.5,2.2,0.7,0.1,15.2
2,3,Adam Waczynski,OBR,27,26.2,4.7,10.2,0.46,2.1,5.1,0.42,3.1,3.4,0.902,2.6,2.0,0.4,1.9,2.4,1.3,0.5,0.0,14.6
3,4,Justin Hamilton,VAL,40,23.0,5.7,10.6,0.5379999999999999,0.9,2.1,0.43,1.7,2.2,0.767,1.1,2.0,1.6,3.8,5.4,0.7,1.0,0.8,14.0
4,5,Dejan Musli,MAN,33,27.1,5.3,9.2,0.574,0.0,0.0,0.0,3.3,4.7,0.701,2.3,2.1,1.7,5.7,7.4,1.9,1.0,0.7,13.8
5,6,Stevan Jelovac,ZAR,34,21.8,4.0,9.2,0.436,1.1,3.1,0.349,4.7,5.3,0.878,1.8,1.9,1.2,3.5,4.7,0.9,0.5,0.0,13.8
6,7,Nacho Martin,EST,28,30.0,5.1,10.9,0.474,1.5,3.9,0.38,1.8,2.3,0.7809999999999999,1.8,2.0,1.5,4.7,6.2,2.0,0.7,0.1,13.5
7,8,Marko Popovic,MON,33,23.4,3.7,8.6,0.43200000000000005,2.8,6.4,0.429,3.3,3.7,0.9009999999999999,1.5,2.5,0.3,1.3,1.5,3.0,0.8,0.0,13.5
8,9,Yannis Bourousis,CAJ,39,23.4,4.4,8.5,0.512,1.0,2.5,0.408,3.5,4.0,0.865,2.0,2.6,1.6,5.8,7.4,2.3,0.8,0.6,13.2
9,10,Brandon Paul,JOV,33,23.1,4.0,10.4,0.387,2.3,6.6,0.353,2.8,3.3,0.8270000000000001,1.8,2.4,0.7,1.9,2.7,1.4,1.0,0.3,13.2
10,11,Giorgi Shermadini,AND,34,21.7,4.6,7.6,0.609,0.0,0.1,0.0,3.9,4.8,0.805,1.8,2.8,1.9,4.1,6.1,0.4,0.8,0.7,13.1
11,12,Nicolas Richotti,CAN,32,26.3,4.1,9.7,0.42100000000000004,1.6,4.3,0.374,3.2,4.1,0.8,2.1,2.8,0.3,1.2,1.5,3.2,1.1,0.1,13.0
12,13,Jaycee Carroll,RMB,45,19.7,4.5,8.2,0.55,2.3,4.5,0.51,1.5,1.7,0.87,1.0,1.8,0.4,1.4,1.9,1.0,0.6,0.2,12.9
13,14,Bostjan Nachbar,ENER,34,22.5,4.4,10.0,0.44,1.5,3.9,0.391,2.5,2.9,0.867,1.6,2.1,0.4,2.1,2.5,0.8,1.1,0.3,12.9
14,15,Bojan Dubljevic,VAL,32,18.7,4.2,8.5,0.502,0.8,2.1,0.364,3.5,4.1,0.847,1.7,1.9,2.0,3.8,5.9,0.6,0.7,0.2,12.7
15,16,Facundo Campazzo,MUR,37,26.5,4.0,10.1,0.397,1.6,4.6,0.337,3.0,3.9,0.778,2.5,3.0,0.2,2.7,2.9,5.3,2.0,0.2,12.6
16,17,Scott Bamforth,ENER,30,29.6,4.2,9.7,0.431,2.2,4.9,0.445,2.0,2.4,0.833,1.8,2.0,0.6,2.9,3.5,2.4,0.8,0.0,12.5
17,18,Clevin Hannah,BBB,33,23.9,3.9,8.7,0.45299999999999996,2.2,5.3,0.414,2.3,2.7,0.852,2.3,2.9,0.3,1.8,2.1,3.5,1.1,0.0,12.3
18,19,Ivan Paunic,MON,36,28.4,4.4,9.7,0.457,1.1,3.4,0.311,2.4,3.0,0.787,2.2,1.9,0.8,2.2,3.0,1.7,1.1,0.0,12.3
19,20,Luka Bogdanovic,AND,33,28.1,4.5,9.5,0.47600000000000003,2.1,5.2,0.4,1.1,1.4,0.7659999999999999,0.9,1.2,0.9,2.4,3.3,1.1,0.7,0.1,12.2
20,21,Sergio Llull,RMB,42,25.0,4.0,8.8,0.45,1.6,4.7,0.34,2.5,3.1,0.809,1.6,1.7,0.3,1.8,2.1,4.9,0.7,0.0,12.1
21,22,Jose Angel Antelo,MUR,37,24.3,3.8,8.6,0.44299999999999995,1.4,3.1,0.461,3.0,3.5,0.853,1.7,2.7,1.7,3.0,4.7,0.9,0.6,0.4,12.0
22,23,Alen Omic,GCN,35,24.5,4.8,8.1,0.596,0.0,0.1,0.0,2.4,4.3,0.546,1.5,2.7,2.3,4.5,6.8,1.1,0.8,0.4,12.0
23,24,Vojdan Stojanovski,AND,34,24.6,4.0,8.6,0.467,0.8,2.5,0.302,3.2,3.6,0.871,1.5,3.3,0.6,1.8,2.4,2.2,0.8,0.1,11.9
24,25,Justin Doellman,FCB,40,24.6,4.2,8.6,0.49,1.2,2.9,0.431,2.2,2.6,0.83,1.0,1.9,1.5,3.5,5.0,1.6,1.1,0.2,11.8
25,26,Angelo Caloiaro,OBR,34,30.2,4.2,8.0,0.524,0.9,2.9,0.33,2.3,3.1,0.743,1.3,2.6,1.6,4.0,5.6,1.2,2.0,0.3,11.6
26,27,Chase Simon,MAN,33,25.0,4.1,10.4,0.39799999999999996,1.5,4.6,0.314,1.8,2.5,0.711,1.8,2.6,0.5,2.1,2.6,1.2,1.1,0.0,11.5
27,28,Ante Tomic,FCB,43,21.0,4.5,7.2,0.627,0.0,0.0,0.5,2.3,3.7,0.616,1.5,2.3,1.7,5.4,7.1,2.3,0.8,0.5,11.4
28,29,Nemanja Nedovic,UNI,35,18.6,3.5,8.1,0.426,1.5,4.1,0.364,2.8,3.4,0.8240000000000001,1.6,2.2,0.2,1.0,1.1,2.6,0.7,0.1,11.2
29,30,Joan Sastre,ZAR,30,25.0,3.8,7.3,0.518,1.3,3.1,0.409,2.3,2.8,0.8240000000000001,1.3,2.0,0.7,2.7,3.4,2.0,1.2,0.3,11.1
30,31,Txemi Urtasun,GBC,27,25.4,4.1,9.5,0.43200000000000005,1.3,3.9,0.34600000000000003,1.6,1.9,0.8240000000000001,1.9,1.7,0.3,2.3,2.7,2.1,0.5,0.0,11.1
31,32,Dairis Bertans,BBB,34,25.3,3.3,8.2,0.406,1.8,5.3,0.344,2.6,3.0,0.871,1.1,2.6,0.4,0.8,1.3,1.9,0.6,0.0,11.1
32,33,Sergio Rodriguez,RMB,42,24.6,3.8,8.0,0.473,1.5,4.0,0.36700000000000005,2.0,2.3,0.887,2.5,2.0,0.1,1.8,2.0,5.9,0.9,0.0,11.0
33,34,Gustavo Ayon,RMB,42,22.7,4.7,6.7,0.7020000000000001,0.0,0.0,0.0,1.4,2.4,0.606,1.3,2.1,1.8,4.4,6.2,2.2,1.5,0.9,10.9
34,35,Kevin Pangos,GCN,33,23.4,3.6,9.2,0.38799999999999996,2.0,5.2,0.382,1.7,1.9,0.875,1.8,2.1,0.2,2.1,2.3,4.5,0.8,0.0,10.8
35,36,Alex Urtasun,MON,36,19.2,3.4,7.5,0.44799999999999995,1.4,3.5,0.413,2.6,3.4,0.758,1.8,1.6,0.3,1.6,1.9,1.9,0.9,0.0,10.8
36,37,Tomas Satoransky,FCB,43,24.3,3.9,6.8,0.5670000000000001,1.0,2.3,0.439,2.0,2.6,0.775,1.5,1.9,0.5,2.5,3.0,4.3,1.0,0.1,10.7
37,38,Blagota Sekulic,CAN,29,24.8,4.1,8.0,0.515,0.5,1.4,0.33299999999999996,2.0,2.9,0.6709999999999999,1.4,2.0,1.6,2.9,4.4,1.6,0.6,0.3,10.7
38,39,Jonathan Tabu,MON,34,24.0,3.3,8.1,0.408,1.9,4.9,0.375,2.1,2.9,0.735,2.1,2.6,0.6,2.1,2.8,3.6,1.3,0.0,10.6
39,40,Jaime Fernandez,EST,34,25.2,3.4,9.1,0.377,1.0,3.4,0.289,2.8,3.4,0.8190000000000001,1.5,2.7,0.4,1.8,2.2,3.2,1.3,0.0,10.6
40,41,Robin Benzing,ZAR,30,20.8,3.3,7.2,0.46,1.4,3.3,0.418,2.5,3.3,0.7759999999999999,1.1,2.9,0.5,1.9,2.4,0.7,0.8,0.2,10.5
41,42,Jordi Grimau,GBC,33,26.5,3.7,8.4,0.442,1.4,3.3,0.413,1.7,2.2,0.8029999999999999,1.3,1.8,0.5,3.0,3.5,1.6,0.7,0.1,10.5
42,43,Mindaugas Kuzminskas,UNI,36,20.0,3.7,7.7,0.48200000000000004,0.9,3.1,0.309,2.0,2.3,0.866,1.6,1.5,1.3,1.7,3.0,1.1,0.6,0.4,10.3
43,44,Mike James,CAJ,41,20.6,3.5,8.0,0.43700000000000006,0.9,3.1,0.302,2.3,2.8,0.816,1.6,1.6,0.4,1.6,2.0,2.8,0.7,0.1,10.2
44,45,Sergi Vidal,JOV,34,28.9,3.2,7.2,0.44299999999999995,1.7,4.1,0.41,2.0,2.7,0.758,2.3,1.3,0.4,3.2,3.6,3.5,1.3,0.0,10.1
45,46,Juancho Hernangomez,EST,34,23.7,3.1,6.9,0.455,1.0,2.8,0.358,2.4,3.3,0.7170000000000001,1.4,1.3,1.7,4.0,5.7,0.6,0.8,0.3,9.7
46,47,Marius Grigonis,MAN,34,25.2,3.1,6.9,0.449,1.5,3.9,0.39399999999999996,1.9,2.5,0.765,0.9,2.6,0.5,2.6,3.0,0.9,0.6,0.1,9.7
47,48,Tim Abromaitis,CAN,34,22.7,3.5,7.7,0.449,1.4,3.9,0.359,1.4,1.6,0.836,1.2,2.9,1.2,3.1,4.3,1.1,0.8,0.2,9.7
48,49,Ondrej Balvin,ENER,34,24.3,4.1,6.2,0.662,0.0,0.0,0.0,1.4,2.0,0.71,1.6,2.4,2.6,4.8,7.4,0.7,0.8,0.9,9.6
49,50,Demond Mallet,JOV,31,20.5,3.3,7.6,0.43799999999999994,2.0,5.0,0.39399999999999996,0.9,1.0,0.9,1.1,1.7,0.2,0.7,0.9,1.5,0.7,0.0,9.5
50,51,Felipe Reyes,RMB,42,16.2,3.1,6.0,0.508,0.1,0.5,0.2,3.2,3.9,0.8220000000000001,1.3,2.7,1.9,2.4,4.3,1.0,0.7,0.1,9.4
51,52,Rafa Martinez,VAL,38,24.7,2.7,6.1,0.44299999999999995,1.6,4.0,0.401,2.4,2.7,0.912,1.1,2.3,0.2,1.6,1.9,2.1,0.9,0.0,9.4
52,53,Adam Hanga,CAJ,40,26.5,3.5,6.9,0.505,0.7,2.5,0.28300000000000003,1.7,2.4,0.726,1.5,2.2,0.9,3.4,4.3,1.5,1.5,0.8,9.4
53,54,Fernando San Emeterio,VAL,37,22.6,3.3,6.7,0.498,0.9,2.6,0.34,1.7,2.1,0.816,1.2,1.1,0.6,2.5,3.1,1.9,0.5,0.0,9.2
54,55,Javier Beiran,CAN,34,27.9,3.6,6.9,0.517,0.9,2.6,0.33,1.1,1.5,0.76,1.2,1.2,2.1,4.1,6.3,2.6,0.8,0.1,9.1
55,56,Eimantas Bendzius,OBR,34,23.1,2.9,7.6,0.385,1.1,3.6,0.306,2.1,2.5,0.845,1.1,2.3,1.1,2.3,3.4,1.0,0.8,0.1,9.1
56,57,Goran Suton,JOV,34,24.4,3.5,8.1,0.434,0.7,3.2,0.231,1.3,1.9,0.6829999999999999,2.1,3.3,1.5,4.0,5.6,1.4,1.1,0.6,9.0
57,58,Henk Norel,ZAR,33,19.2,3.7,6.2,0.5920000000000001,0.0,0.0,0.0,1.6,2.1,0.743,1.3,2.8,1.5,3.2,4.8,1.0,0.7,0.4,9.0
58,59,Betinho Gomes,AND,34,27.3,3.0,6.3,0.474,1.6,4.1,0.406,1.3,1.9,0.698,1.0,1.9,0.9,3.9,4.8,0.9,0.9,0.2,8.9
59,60,Alex Abrines,FCB,37,19.5,3.0,6.3,0.47,1.6,4.0,0.396,1.3,1.5,0.86,0.6,1.9,0.6,1.7,2.4,1.1,0.8,0.2,8.9
60,61,Zoran Vrkic,GBC,34,19.7,3.2,6.7,0.485,0.9,2.6,0.36,1.4,1.7,0.831,1.1,1.8,1.0,2.4,3.4,0.5,0.8,0.3,8.9
61,62,Sasu Salin,GCN,35,22.5,2.9,7.6,0.37799999999999995,1.8,5.0,0.366,1.1,1.1,0.975,0.8,2.6,0.7,1.5,2.2,1.2,0.8,0.1,8.7
62,63,Shawn Jones,AND,34,15.2,3.6,5.5,0.647,0.0,0.0,0.0,1.6,2.5,0.635,1.2,2.0,1.2,2.2,3.4,0.1,0.3,0.5,8.7
63,64,Pierre Oriola,ENER,34,19.3,3.4,6.6,0.509,0.4,1.2,0.341,1.3,1.7,0.763,1.3,2.6,1.2,2.3,3.5,0.8,0.4,0.3,8.5
64,65,Scott Wood,MUR,36,20.2,2.9,6.5,0.444,2.1,5.0,0.41100000000000003,0.7,0.7,1.0,0.9,2.7,0.3,1.8,2.1,0.9,0.3,0.1,8.5
65,66,Albert Oliver,GCN,37,19.3,2.4,6.3,0.37200000000000005,0.9,3.3,0.27899999999999997,2.8,3.0,0.929,1.8,2.1,0.6,1.4,2.0,4.2,0.5,0.1,8.4
66,67,David Doblas,GBC,34,21.2,2.9,5.9,0.483,0.1,0.3,0.273,2.6,3.4,0.774,1.7,3.1,1.1,1.6,2.7,0.9,0.2,0.2,8.4
67,68,Davin White,CAN,32,19.7,2.7,7.1,0.376,1.2,3.9,0.32,1.8,2.5,0.7040000000000001,1.8,2.7,0.4,0.9,1.4,2.4,0.9,0.1,8.3
68,69,Antoine Diot,VAL,35,18.4,3.1,6.0,0.521,1.1,2.9,0.386,0.7,0.9,0.7879999999999999,1.4,2.1,0.2,1.4,1.6,3.0,0.7,0.1,8.1
69,70,Will Thomas,UNI,36,24.9,3.3,6.6,0.504,0.6,1.7,0.38299999999999995,0.9,1.3,0.696,0.8,1.5,2.1,3.6,5.8,1.3,1.0,0.1,8.1
70,71,Eulis Baez,GCN,37,22.6,2.5,6.0,0.41600000000000004,0.9,2.5,0.34,2.2,2.9,0.764,1.4,1.8,1.3,3.0,4.3,1.2,0.9,0.2,8.0
71,72,Brad Newley,GCN,35,21.0,3.0,6.5,0.456,1.0,2.7,0.354,1.1,1.5,0.7040000000000001,1.3,1.3,0.7,1.9,2.6,1.5,0.8,0.1,8.0
72,73,Tomas Bellas,ZAR,34,25.9,2.3,6.6,0.348,0.8,2.7,0.28,2.6,3.1,0.841,1.9,2.4,0.3,1.6,1.9,4.4,0.8,0.0,8.0
73,74,Tyler Haws,OBR,34,19.1,2.9,6.4,0.45799999999999996,0.7,2.0,0.33799999999999997,1.4,1.7,0.828,1.1,1.4,0.2,1.1,1.3,0.7,0.7,0.1,7.9
74,75,Juan Carlos Navarro,FCB,31,18.3,2.6,6.8,0.382,1.4,4.0,0.35,1.3,1.4,0.8859999999999999,1.1,1.7,0.1,1.2,1.3,2.2,0.5,0.0,7.9
75,76,Donnie McGrath,OBR,33,24.6,2.6,6.4,0.41,1.1,3.5,0.316,1.4,1.5,0.922,2.2,2.4,0.1,1.6,1.7,4.7,0.5,0.0,7.7
76,77,Pau Ribas,FCB,37,19.6,2.7,5.8,0.467,1.3,3.2,0.41200000000000003,1.0,1.1,0.878,1.4,1.2,0.2,1.9,2.1,3.1,0.7,0.0,7.7
77,78,Pablo Aguilar,GCN,33,18.0,2.7,6.2,0.43700000000000006,1.2,3.6,0.342,1.0,1.4,0.711,1.1,1.0,1.0,3.0,4.1,0.5,1.1,0.4,7.7
78,79,Isaac Fotu,ZAR,34,22.0,2.9,5.9,0.483,0.4,1.6,0.255,1.4,1.9,0.7659999999999999,1.0,1.4,1.1,3.3,4.4,0.5,0.3,0.2,7.6
79,80,Travis Wear,GBC,26,20.5,3.2,7.0,0.44799999999999995,0.7,2.0,0.353,0.5,0.7,0.737,1.0,2.7,1.0,3.3,4.2,0.5,0.7,0.1,7.5
80,81,David Wear,MON,36,21.2,2.9,6.2,0.45799999999999996,1.3,3.4,0.385,0.5,0.7,0.75,0.6,1.8,0.9,2.5,3.3,0.3,0.4,0.1,7.5
81,82,Vitor Benite,MUR,35,17.2,2.5,6.8,0.37,1.3,3.8,0.34600000000000003,1.2,1.5,0.804,0.8,2.4,0.2,1.3,1.6,0.7,0.7,0.0,7.5
82,83,Albert Sabat,JOV,34,19.2,2.2,5.8,0.38299999999999995,1.2,3.8,0.32299999999999995,1.7,1.9,0.9209999999999999,1.2,1.8,0.5,1.0,1.5,2.1,0.8,0.0,7.4
83,84,Kim Tillie,CAJ,41,23.7,2.8,5.8,0.48100000000000004,0.4,1.5,0.28600000000000003,1.3,1.6,0.818,1.3,2.2,1.7,3.1,4.8,1.0,0.7,0.2,7.3
84,85,Nemanja Radovic,MUR,37,17.7,2.9,6.1,0.48200000000000004,0.3,1.2,0.256,1.1,1.8,0.621,0.9,2.1,1.4,2.4,3.8,0.9,0.3,0.7,7.3
85,86,Georgios Bogris,BBB,34,21.1,3.3,5.7,0.575,0.0,0.0,0.0,0.6,1.2,0.55,1.0,3.5,1.8,3.0,4.8,0.9,0.6,0.2,7.2
86,87,Stratos Perperoglou,FCB,43,20.3,2.7,6.4,0.41600000000000004,1.0,3.0,0.331,0.8,1.0,0.7859999999999999,0.7,1.8,0.4,2.0,2.4,0.9,0.6,0.2,7.1
87,88,Alberto Abalde,JOV,30,17.6,2.5,6.0,0.42,1.1,2.7,0.42,0.8,1.0,0.862,0.6,1.3,0.6,1.7,2.3,0.9,0.5,0.0,7.0
88,89,Dan Clark,AND,33,17.2,2.5,6.4,0.389,1.0,3.2,0.311,1.0,1.3,0.767,1.2,2.0,0.9,1.9,2.8,0.8,0.6,0.5,7.0
89,90,Ousmane Drame,JOV,33,16.7,2.8,6.6,0.419,0.1,0.8,0.154,1.3,1.8,0.7290000000000001,1.3,2.5,1.9,2.2,4.1,0.7,1.1,0.7,6.9
90,91,Alfonso Sanchez,ENER,34,19.6,2.1,4.7,0.441,0.7,1.6,0.444,2.0,2.5,0.802,1.8,3.2,0.5,1.0,1.5,1.4,1.0,0.1,6.9
91,92,Luke Sikma,VAL,32,22.7,2.6,5.3,0.485,0.6,1.0,0.545,1.2,1.6,0.74,1.3,2.6,2.0,3.7,5.6,2.7,0.9,0.3,6.9
92,93,John Shurna,VAL,39,17.8,2.3,4.7,0.49700000000000005,1.4,2.9,0.47,0.8,1.2,0.733,0.7,1.9,0.7,1.8,2.5,0.7,0.4,0.2,6.9
93,94,Pedro Llompart,GBC,33,28.5,2.0,5.0,0.4,0.8,2.2,0.35600000000000004,2.0,2.3,0.87,2.0,1.7,0.1,2.3,2.4,5.0,0.8,0.0,6.8
94,95,Jaka Blazic,CAJ,32,18.1,2.4,5.1,0.475,0.7,1.9,0.361,1.3,1.5,0.8540000000000001,1.1,2.7,0.9,1.7,2.6,0.8,0.6,0.1,6.8
95,96,Nacho Llovet,JOV,34,18.6,2.2,4.5,0.48100000000000004,0.5,1.5,0.32,1.9,2.5,0.741,1.0,1.7,1.2,2.1,3.3,1.0,0.5,0.3,6.7
96,97,Joseph Jones,CAN,28,16.7,2.8,5.5,0.513,0.1,0.2,0.33299999999999996,0.9,1.5,0.619,1.0,2.7,0.8,2.0,2.8,0.8,0.7,0.1,6.6
97,98,David Navarro,AND,31,20.7,2.5,5.3,0.461,0.5,1.1,0.4,1.3,1.5,0.83,1.6,2.0,0.5,1.6,2.1,2.9,0.6,0.0,6.6
98,99,Edwin Jackson,UNI,34,16.0,1.9,5.0,0.38,1.0,3.0,0.34700000000000003,1.6,2.2,0.747,1.4,1.7,0.3,0.9,1.2,1.8,0.4,0.0,6.5
99,100,Josip Sobin,MON,36,16.1,3.2,5.7,0.556,0.0,0.0,0.0,0.1,0.5,0.278,0.8,3.3,0.9,2.2,3.1,0.6,0.8,0.4,6.5
